JARAK (KM),ITK,INDRAKILA,GRAND CITY,MT. HARYONO,RUHUI RAHAYU,AHMAD YANI
ITK,0,12.1,12.4,14.7,16.4,20.5
INDRAKILA,12.1,0,3.3,3.7,5.4,6.2
GRAND CITY,12.4,3.3,0,2.6,4.3,9
MT. HARYONO,14.7,3.7,2.6,0,1.7,6.8
RUHUI RAHAYU,16.4,5.4,4.3,1.8,0,7.9
AHMAD YANI,20.5,6.2,9,6.8,7.9,0
